    目标时长: 2.00s
    差异: 0.50s
    中文比英文长，需要快放
    目标时长: 2001.00ms
  片段 49[116.26-116.80(117.32)]:你是小人物。
    英文时长: 0.54s
    中文时长: 0.89s
    目标时长: 117.32s
    差异: -116.43s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 42[102.14-104.26(104.88)]:现在我该问问题了。
    英文时长: 2.12s
    中文时长: 1.75s
    目标时长: 104.88s
    差异: -103.13s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 50[117.32-119.44(120.08)]:没人知道彼此，行吧？
    英文时长: 2.12s
    中文时长: 1.97s
    目标时长: 120.08s
    差异: -118.11s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 51[120.08-123.16(125.28)]:克劳德是我的朋友和商业伙伴。
    英文时长: 3.08s
    中文时长: 4.70s
    目标时长: 125.28s
    差异: -120.58s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 36[87.04-87.70(88.30)]:是的。
    英文时长: 0.66s
    中文时长: 0.85s
    目标时长: 88.30s
    差异: -87.45s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 40[97.76-99.86(100.06)]:我还没想明白那部分。
    英文时长: 2.10s
    中文时长: 1.61s
    目标时长: 100.06s
    差异: -98.45s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 55[129.88-130.22(130.30)]:抱歉。
    英文时长: 0.34s
    中文时长: 0.50s
    目标时长: 130.30s
    差异: -129.80s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 53[128.04-129.40(129.62)]:我原本没预料到这一点。
    英文时长: 1.36s
    中文时长: 2.11s
    目标时长: 129.62s
    差异: -127.51s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 54[129.62-129.84(129.88)]:我明白。
    英文时长: 0.22s
    中文时长: 0.65s
    目标时长: 129.88s
    差异: -129.23s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 48[115.52-116.18(116.26)]:可能不知道。
    英文时长: 0.66s
    中文时长: 0.73s
    目标时长: 116.26s
    差异: -115.53s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 44[108.32-110.66(111.02)]:我的儿子咬了她儿子，是在空手道比赛的时候。
    英文时长: 2.34s
    中文时长: 4.06s
    目标时长: 111.02s
    差异: -106.96s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 61[146.58-148.08(148.20)]:我不想拿任何钱。
    英文时长: 1.50s
    中文时长: 1.42s
    目标时长: 148.20s
    差异: -146.78s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 63[150.64-152.12(152.38)]:我只需要信任你吗？
    英文时长: 1.48s
    中文时长: 1.39s
    目标时长: 152.38s
    差异: -150.99s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 56[130.30-133.60(133.60)]:我只是觉得我们该解决一下，这样大家都能向前看了。
    英文时长: 3.30s
    中文时长: 3.59s
    目标时长: 133.60s
    差异: -130.01s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 58[135.70-140.90(140.90)]:嗯，我直觉是别扩展到种植室之外，直接把收获送到医疗大麻俱乐部。
    英文时长: 5.20s
    中文时长: 5.53s
    目标时长: 140.90s
    差异: -135.37s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 59[140.90-144.52(144.98)]:并且你不要想分一杯羹？
    英文时长: 3.62s
    中文时长: 1.79s
    目标时长: 144.98s
    差异: -143.19s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 65[153.92-154.60(155.96)]:相信你的搭档。
    英文时长: 0.68s
    中文时长: 1.35s
    目标时长: 155.96s
    差异: -154.61s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 67[158.52-164.32(169.16)]:因此，通过伙伴关系的信任传递性，我们可以相互信任。
    英文时长: 5.80s
    中文时长: 5.56s
    目标时长: 169.16s
    差异: -163.60s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 57[133.60-135.38(135.70)]:要怎么才能让这事变得可行呢？
    英文时长: 1.78s
    中文时长: 2.73s
    目标时长: 135.70s
    差异: -132.97s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 68[169.16-169.70(175.22)]:看？
    英文时长: 0.54s
    中文时长: 0.65s
    目标时长: 175.22s
    差异: -174.57s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 66[155.96-158.20(158.52)]:恰好是我的搭档。
    英文时长: 2.24s
    中文时长: 2.25s
    目标时长: 158.52s
    差异: -156.27s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 62[148.20-149.12(150.64)]:我只是想得到南茜。
    英文时长: 0.92s
    中文时长: 1.73s
    目标时长: 150.64s
    差异: -148.91s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 60[144.98-145.82(146.58)]:你不想占一份吗？
    英文时长: 0.84s
    中文时长: 1.20s
    目标时长: 146.58s
    差异: -145.38s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 47[114.76-115.30(115.52)]:哦，我不清楚。
    英文时长: 0.54s
    中文时长: 1.79s
    目标时长: 115.52s
    差异: -113.73s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 64[152.38-153.90(153.92)]:哦，你不需要信任我。
    英文时长: 1.52s
    中文时长: 1.81s
    目标时长: 153.92s
    差异: -152.11s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 52[125.28-128.00(128.04)]:这只是被我顺手接过的任务。
    英文时长: 2.72s
    中文时长: 2.81s
    目标时长: 128.04s
    差异: -125.23s
    中文比英文短或相等，无需调整，直接使用原音频
  片段 69[175.22-175.76(0.00)]:对吧？
    英文时长: 0.54s
    中文时长: 1.01s
    目标时长: 0.54s
    差异: 0.47s
    中文比英文长，需要快放
    目标时长: 540.00ms
